,Name,Location,Cuisine type,Food rating,Service rating,Ambience rating,Value rating,Rating distribution,Noise,Recommendations,No. of reviews
22,Fishing With Dynamite,"1148 Manhattan Avenue Manhattan Beach, CA  90266",Seafood,4.9,4.8,4.7,4.5,"Rated 5 by 90% people,Rated 4 by 8% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,96%,1479
23,Frances,"3870 17th Street San Francisco, CA  94114",Californian,4.8,4.8,4.6,4.4,"Rated 5 by 87% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,94%,3218
24,Gabriel Kreuther,"41 W. 42nd St. New York, NY  10036",Contemporary French / American,4.7,4.7,4.7,4.2,"Rated 5 by 84% people,Rated 4 by 10% people,Rated 3 by 4% people,Rated 2 by 1% people,Rated 1 by 1% people",Quiet,91%,1593
25,Geronimo,"724 Canyon Road Santa Fe, NM  87501",Fusion / Eclectic,4.9,4.9,4.9,4.5,"Rated 5 by 92% people,Rated 4 by 6% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,97%,6459
26,Girl & the Goat,"809 W Randolph Chicago, IL  60607",Contemporary American,4.8,4.8,4.7,4.5,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,95%,10903
27,Giulia Restaurant,"1682 Massachusetts Ave Cambridge, MA  02138",Italian,4.8,4.8,4.6,4.4,"Rated 5 by 83% people,Rated 4 by 12% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,94%,1131
28,Gramercy Tavern,Claim this listing,American,4.8,4.8,4.7,4.3,"Rated 5 by 87% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,93%,8508
29,"The Grill - The Ritz-Carlton, Naples","280 Vanderbilt Beach Road Naples, FL  34108",Steakhouse,4.8,4.9,4.8,4.3,"Rated 5 by 89% people,Rated 4 by 6% people,Rated 3 by 3% people,Rated 2 by 2% people,Rated 1 by 0% people",Moderate,95%,1305
30,Halls Chophouse,Claim this listing,Steakhouse,4.8,4.9,4.7,4.5,"Rated 5 by 87% people,Rated 4 by 10% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,98%,10706
31,Harold Black,"212 7th St SE Washington, DC  20003",American,4.6,4.5,4.9,4.3,"Rated 5 by 81% people,Rated 4 by 12% people,Rated 3 by 5% people,Rated 2 by 0% people,Rated 1 by 2% people",Quiet,98%,575
32,Heirloom Cafe,Claim this listing,Californian,4.8,4.8,4.7,4.4,"Rated 5 by 85% people,Rated 4 by 11% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,78%,1098
33,Hersh's,"1843 Light Street Baltimore, MD  21230",Italian,4.9,4.8,4.7,4.6,"Rated 5 by 88% people,Rated 4 by 10% people,Rated 3 by 1% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,00%,822
35,The Inn at Little Washington,Claim this listing,American,4.9,4.9,4.8,4.1,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,00%,769
36,Seafood,"60 East Grand Avenue Chicago, IL  60611",Seafood,4.9,4.8,4.7,4.4,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,13573
37,JUNGSIK,Claim this listing,Korean,4.9,4.9,4.8,4.5,"Rated 5 by 91% people,Rated 4 by 8% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,97%,1418
38,Kinship,Claim this listing,American,4.7,4.7,4.7,4.3,"Rated 5 by 83% people,Rated 4 by 13% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,93%,927
39,Koi,"730 N La Cienega Blvd Los Angeles, CA  90069",Japanese,4.8,4.7,4.7,4.3,"Rated 5 by 84% people,Rated 4 by 10% people,Rated 3 by 4% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,91%,1716
40,Kokkari Estiatorio,"200 Jackson St. San Francisco, CA  94111",Mediterranean,4.8,4.8,4.8,4.3,"Rated 5 by 86% people,Rated 4 by 10% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,94%,6788
41,L'Auberge Chez Francois,"332 Springvale Road Great Falls, VA  22066",French,4.9,4.9,4.8,4.5,"Rated 5 by 90% people,Rated 4 by 9% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,98%,6064
42,La Grotta,"2637 Peachtree Rd. NE Atlanta, GA  30305",Italian,4.9,4.8,4.8,4.6,"Rated 5 by 90% people,Rated 4 by 7% people,Rated 3 by 1% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,00%,1713
43,Lahaina Grill,"127 Lahainaluna Rd. Lahaina, HI  96761",American,4.8,4.9,4.7,4.4,"Rated 5 by 88% people,Rated 4 by 8% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,94%,6671
44,LArtusi,"228 West 10th Street New York, NY  10014",Italian,4.8,4.7,4.7,4.5,"Rated 5 by 86% people,Rated 4 by 10% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,95%,2404
45,Le Bilboquet - Dallas,"4514 Travis Street Suite 124 Dallas, TX  75205",French,4.8,4.8,4.8,4.5,"Rated 5 by 88% people,Rated 4 by 7% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,1283
46,Le Coucou,Claim this listing,French,4.7,4.7,4.8,4.2,"Rated 5 by 82% people,Rated 4 by 12% people,Rated 3 by 4% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,2925
47,Le Diplomate,"1601 14th St. NW Washington, DC  20009",French,4.8,4.7,4.7,4.4,"Rated 5 by 85% people,Rated 4 by 11% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,95%,8835
48,Le Vallauris,View all,French,4.8,4.8,4.8,4.4,"Rated 5 by 86% people,Rated 4 by 10% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 1% people",Quiet,95%,2767
49,Linwoods,"25 Crossroads Drive Owings Mills, MD  21117",Contemporary American,4.8,4.8,4.7,4.4,"Rated 5 by 85% people,Rated 4 by 12% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,98%,3260
50,Mama's Fish House,"799 Poho Place Paia, HI  96779",Fish,4.9,4.9,4.9,4.3,"Rated 5 by 91% people,Rated 4 by 6% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,97%,30638
51,Marc Forgione,"134 Reade Street New York, NY  10013",Contemporary American,4.8,4.8,4.7,4.3,"Rated 5 by 88% people,Rated 4 by 8% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,87%,2809
52,Marcel's by Robert Wiedmaier,"2401 Pennsylvania Ave. Washington, DC  20037",French,4.9,4.9,4.8,4.4,"Rated 5 by 87% people,Rated 4 by 10% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,96%,3353
53,Marea,"240 Central Park South New York, NY  10019",Italian,4.8,4.7,4.7,4.3,"Rated 5 by 85% people,Rated 4 by 10% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,93%,7748
54,Market Restaurant and Bar,Claim this listing,Contemporary American,4.9,4.8,4.5,4.4,"Rated 5 by 86% people,Rated 4 by 12% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 1% people",Moderate,97%,3044
55,Mistral - Sherman Oaks,"13422 Ventura Blvd. Sherman Oaks, CA  91423",French,4.8,4.9,4.7,4.5,"Rated 5 by 89% people,Rated 4 by 7% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,1229
56,The Modern - Bar Room and Dining Room,Claim this listing,Contemporary American,4.6,4.7,4.7,4.4,"Rated 5 by 80% people,Rated 4 by 15% people,Rated 3 by 4% people,Rated 2 by 0% people,Rated 1 by 2% people",Moderate,93%,4318
57,Momofuku Ko,"8 Extra Place New York, NY  10003",American,4.8,4.9,4.8,4.4,"Rated 5 by 87% people,Rated 4 by 8% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,90%,650
58,Neighborhood Services,"5027 W Lovers Ln Dallas, TX  75209",American,4.8,4.8,4.7,4.5,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,92%,1286
59,Orchids at Palm Court,"Hilton Cincinnati 35 West Fifth Street Cincinnati, OH  45202",French American,4.7,4.8,4.9,4.3,"Rated 5 by 83% people,Rated 4 by 11% people,Rated 3 by 3% people,Rated 2 by 2% people,Rated 1 by 1% people",Moderate,94%,2509
60,Oriole,"661 W. Walnut St. Chicago, IL  60661",Contemporary American,4.9,5.0,4.9,4.5,"Rated 5 by 96% people,Rated 4 by 2% people,Rated 3 by 1% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,98%,1132
61,Parc,"227 South 18th Street Philadelphia, PA  19103",French,4.7,4.7,4.7,4.4,"Rated 5 by 81% people,Rated 4 by 15% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,11198
62,Per Se,Claim this listing,American,4.8,4.8,4.8,4.3,"Rated 5 by 85% people,Rated 4 by 10% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,94%,2187
63,The Polo Bar,"1 E. 55th St. New York, NY  10022",American,4.7,4.8,4.8,4.3,"Rated 5 by 86% people,Rated 4 by 10% people,Rated 3 by 1% people,Rated 2 by 2% people,Rated 1 by 1% people",Moderate,93%,699
64,Polo Lounge @ The Beverly Hills Hotel,"9641 Sunset Blvd. Beverly Hills, CA  90210",American,4.6,4.6,4.8,4.0,"Rated 5 by 83% people,Rated 4 by 9% people,Rated 3 by 5% people,Rated 2 by 2% people,Rated 1 by 1% people",Moderate,92%,1366
65,PRESS,"587 St. Helena Hwy (Hwy 29) St. Helena, CA  94574",American,4.6,4.7,4.7,4.1,"Rated 5 by 79% people,Rated 4 by 11% people,Rated 3 by 6% people,Rated 2 by 3% people,Rated 1 by 1% people",Moderate,83%,2543
66,Quince,"470 Pacific Avenue San Francisco, CA  94133",Californian,4.8,4.9,4.9,4.3,"Rated 5 by 90% people,Rated 4 by 5% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Quiet,86%,2577
67,Raoul's,Claim this listing,Contemporary French,4.8,4.6,4.7,4.3,"Rated 5 by 84% people,Rated 4 by 12% people,Rated 3 by 3% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,90%,1838
68,Rasika,Claim this listing,Indian,,,,,"Rated 5 by 77% people,Rated 4 by 15% people,Rated 3 by 2% people,Rated 2 by 3% people,Rated 1 by 3% people",,,8652
69,Restaurant L,View all,French,4.9,4.8,4.9,4.5,"Rated 5 by 91% people,Rated 4 by 5% people,Rated 3 by 2% people,Rated 2 by 2% people,Rated 1 by 0% people",Quiet,97%,787
70,Riccardo Enoteca,"2116 N Clark St Chicago, IL  60614",Italian,4.9,4.9,4.8,4.7,"Rated 5 by 91% people,Rated 4 by 8% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,00%,609
71,Rich Table,Claim this listing,Californian,4.6,4.6,4.4,4.3,"Rated 5 by 76% people,Rated 4 by 17% people,Rated 3 by 5% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,92%,1735
72,RL Restaurant,"115 E Chicago Ave Chicago, IL  60611",American,4.8,4.8,4.8,4.4,"Rated 5 by 86% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,94%,6030
73,RPM Restaurants - Multiple Locations,,Italian,4.7,4.7,4.7,4.4,"Rated 5 by 81% people,Rated 4 by 12% people,Rated 3 by 4% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,93%,11492
74,Rudy & Paco Restaurant & Bar,"2028 Postoffice Street Galveston, TX  77550",Seafood,4.9,4.9,4.9,4.6,"Rated 5 by 93% people,Rated 4 by 5% people,Rated 3 by 1% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,98%,2968
75,Ruth's Chris Steak House - Baton Rouge,"4836 Constitution Avenue Baton Rouge, LA  70808",Steakhouse,4.9,4.9,4.8,4.7,"Rated 5 by 95% people,Rated 4 by 4% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,99%,1356
76,The Saddle River Inn,"2 Barnstable Court Saddle River, NJ  07458",French,4.9,4.8,4.8,4.6,"Rated 5 by 91% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,1821
77,Saint Jacques French Cuisine,"6112 Falls of Neuse Rd. Raleigh, NC  27609",French,4.8,4.8,4.5,4.4,"Rated 5 by 85% people,Rated 4 by 8% people,Rated 3 by 4% people,Rated 2 by 2% people,Rated 1 by 1% people",Quiet,91%,2421
78,Shinsei Restaurant,"7713 Inwood Rd. Dallas, TX  75209",Asian,4.8,4.7,4.7,4.4,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,94%,1113
79,SHU - Sushi House Unico - Bel Air,"2932 1/2 Beverly Glen Circle Bel Air, CA  90077",Sushi,4.8,4.7,4.6,4.4,"Rated 5 by 87% people,Rated 4 by 9% people,Rated 3 by 3% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,97%,425
80,Sotto,"118 E. 6th St. Cincinnati, OH  45202",Italian,4.9,4.9,4.9,4.7,"Rated 5 by 93% people,Rated 4 by 5% people,Rated 3 by 1% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,4051
81,Spinasse,"1531 14th Avenue Seattle, WA  98122",Italian,4.8,4.8,4.7,4.4,"Rated 5 by 85% people,Rated 4 by 9% people,Rated 3 by 4% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,95%,2656
82,St. Francis Winery & Vineyards,"100 Pythian Road Santa Rosa, CA  95409",Californian,4.9,4.9,4.9,4.8,"Rated 5 by 93% people,Rated 4 by 6% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,98%,1375
83,Steve & Cookie's By the Bay,Claim this listing,American,4.9,4.8,4.7,4.5,"Rated 5 by 87% people,Rated 4 by 10% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Moderate,98%,5414
84,Stonehouse at San Ysidro Ranch,"900 San Ysidro Lane Santa Barbara, CA  93108",Contemporary American,4.7,4.8,4.9,4.3,"Rated 5 by 88% people,Rated 4 by 7% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,96%,1510
85,Sushi Nakazawa - Sushi Bar,Claim this listing,Sushi,4.9,4.9,4.8,4.4,"Rated 5 by 90% people,Rated 4 by 7% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,97%,750
86,The Table at Season To Taste,Claim this listing,Contemporary French / American,4.8,4.9,4.7,4.5,"Rated 5 by 88% people,Rated 4 by 9% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,95%,794
87,Talula’s Garden,"210 West Washington Square Philadelphia, PA  19106",American,4.8,4.8,4.8,4.4,"Rated 5 by 84% people,Rated 4 by 12% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,96%,8617
88,The Metro Wine Bar & Bistro,"6418 N Western Ave Oklahoma City, OK  73116",Contemporary American,4.9,4.9,4.9,4.7,"Rated 5 by 94% people,Rated 4 by 5% people,Rated 3 by 0% people,Rated 2 by 0% people,Rated 1 by 0% people",Quiet,99%,1865
89,Toscana,"11633 San Vicente Blvd Los Angeles, CA  90049",Italian,4.7,4.8,4.5,4.2,"Rated 5 by 83% people,Rated 4 by 13% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,86%,479
90,Townsend,View all,Contemporary French,4.6,4.6,4.2,4.1,"Rated 5 by 68% people,Rated 4 by 20% people,Rated 3 by 9% people,Rated 2 by 2% people,Rated 1 by 1% people",Moderate,89%,1222
91,True Food Kitchen - Chicago,"1 W Erie Street Chicago, IL  60654",American,4.7,4.6,4.6,4.4,"Rated 5 by 80% people,Rated 4 by 15% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,97%,1599
92,Uchi - Dallas,"2817 Maple Ave Dallas, TX  75201",Sushi,4.9,4.8,4.8,4.5,"Rated 5 by 91% people,Rated 4 by 6% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,97%,2238
93,UMI,"3050 Peachtree Rd Atlanta, GA  30305",Sushi,4.9,4.8,4.7,4.4,"Rated 5 by 90% people,Rated 4 by 7% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,97%,1793
94,Upland,Claim this listing,Contemporary American,4.5,4.4,4.6,4.1,"Rated 5 by 75% people,Rated 4 by 16% people,Rated 3 by 6% people,Rated 2 by 2% people,Rated 1 by 1% people",Moderate,89%,2581
95,Vernick Food & Drink,Claim this listing,American,4.8,4.7,4.4,4.4,"Rated 5 by 80% people,Rated 4 by 17% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Moderate,97%,1659
96,Vetri Cucina,Claim this listing,Italian,4.9,4.9,4.8,4.4,"Rated 5 by 92% people,Rated 4 by 5% people,Rated 3 by 2% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,94%,2366
97,Yvonne's,Claim this listing,"Global, International",4.7,4.6,4.8,4.2,"Rated 5 by 80% people,Rated 4 by 15% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 1% people",Moderate,97%,1175
98,Zahav,Claim this listing,Middle Eastern,4.8,4.8,4.6,4.6,"Rated 5 by 89% people,Rated 4 by 8% people,Rated 3 by 2% people,Rated 2 by 0% people,Rated 1 by 1% people",Moderate,97%,7136
99,Zero Restaurant + Bar,Claim this listing,Contemporary American,4.8,4.8,4.8,4.3,"Rated 5 by 85% people,Rated 4 by 11% people,Rated 3 by 3% people,Rated 2 by 1% people,Rated 1 by 0% people",Quiet,94%,758
